,type,gender,speaker,vowel,repetition,F0,F1,F2,F3,z0,z1,z2,z3,vowelChoice,vowelProb,typeChoice,typeProb
0,m,m,1,FLEECE,1,160,240,2280,2850,1.4933962264150942,2.3947272727272724,13.886698113207547,15.355343035343036,FLEECE,0.9999872127759551,m,0.9999925390999835
1,m,m,1,FLEECE,2,186,280,2400,2790,1.793699906803355,2.82125,14.227798165137616,15.217347368421052,FLEECE,0.999430750103468,m,0.9999930562537167
2,m,m,1,KIT,1,203,390,2030,2640,1.9861488673139156,3.91931914893617,13.11017543859649,14.856608695652174,KIT,0.9816645982986301,m,0.9992346068348203
3,m,m,1,KIT,2,192,310,1980,2550,1.8619702602230481,3.131277533039648,12.943045685279186,14.628647450110865,KIT,0.9929739858344818,m,0.9999981632693784
4,m,m,1,DRESS,1,161,490,1870,2420,1.505082508250825,4.832,12.560000000000002,14.28283105022831,DRESS,0.6989363726348259,m,0.7979865077882623
5,m,m,1,DRESS,2,155,570,1700,2600,1.4347990543735225,5.5101976284584975,11.92273224043716,14.75640350877193,DRESS,0.5837331044174245,m,0.9974381585704505
6,m,m,1,TRAP,1,140,560,1820,2660,1.2573333333333332,5.427777777777777,12.37851851851852,14.906060606060604,DRESS,0.8686786239463024,m,0.9928890909870227
7,m,m,1,TRAP,2,180,630,1700,2550,1.7250467289719624,5.991351351351351,11.92273224043716,14.628647450110865,TRAP,0.8979883000124906,m,0.9911085924604167
8,m,m,1,STRUT,1,144,590,1250,2620,1.3049049429657793,5.673098039215685,9.910031152647974,14.806724890829694,STRUT,0.6069254296309972,m,0.5988696075344537
9,m,m,1,STRUT,2,148,620,1300,2530,1.3522960151802654,5.912713178294573,10.161104294478529,14.576748329621381,STRUT,0.9574182330785282,m,0.9576239753756941
10,m,m,1,PALM,1,148,740,1070,2490,1.3522960151802654,6.817925925925925,8.937557755775579,14.471550561797752,PALM,0.9653882196048031,m,0.9648170396918503
11,m,m,1,PALM,2,170,800,1060,2640,1.6097652582159625,7.241014492753622,8.880132450331127,14.856608695652174,PALM,0.9948893790249307,m,0.629471567719391
12,m,m,1,THOUGHT,1,161,600,970,2280,1.505082508250825,5.753593749999999,8.345665529010239,13.886698113207547,THOUGHT,0.5890750894824723,m,0.7769974027238291
13,m,m,1,THOUGHT,2,158,660,980,2220,1.4699905571293672,6.223664122137404,8.406666666666666,13.708803827751197,THOUGHT,0.8127603453662413,m,0.6669796740385442
14,m,m,1,FOOT,1,163,440,1120,2210,1.5284220442769663,4.385166666666667,9.219090909090909,13.678657074340528,FOOT,0.9849728967115158,m,0.9913186148650344
15,m,m,1,FOOT,2,190,400,1070,2280,1.839255813953488,4.014067796610169,8.937557755775579,13.886698113207547,GOOSE,0.5420862146099646,m,0.690742548246186
16,m,m,1,GOOSE,1,160,240,1040,2150,1.4933962264150942,2.3947272727272724,8.764133333333334,13.494695863746959,GOOSE,0.9999790974342261,m,0.999999681978197
17,m,m,1,GOOSE,2,157,270,930,2280,1.4582711384034008,2.716053811659193,8.097439446366783,13.886698113207547,GOOSE,0.9999952131458695,m,0.9999824619368953
18,m,m,1,NURSE,1,177,370,1520,1670,1.6905755732335048,3.7273819742489263,11.180114942528734,11.804077134986226,NURSE,0.9999999999999436,m,0.9982877001184115
19,m,m,1,NURSE,2,164,460,1330,1590,1.5400753295668548,4.566115702479338,10.308085106382979,11.477859154929579,NURSE,1.0,m,0.9576658135396087
20,m,m,2,FLEECE,1,147,220,2220,2910,1.3404651162790695,2.175596330275229,13.708803827751197,15.48993839835729,FLEECE,0.9999993930011186,m,0.9999933754236976
21,m,m,2,FLEECE,2,148,210,2360,3250,1.3522960151802654,2.064516129032258,14.116203703703704,16.194088291746638,FLEECE,0.9999999446540048,m,0.9962999306755259
22,m,m,2,KIT,1,141,410,1890,2680,1.2692432175154686,4.10801687763713,12.631272727272727,14.955086206896551,KIT,0.9875710122148351,m,0.9988714470025063
23,m,m,2,KIT,2,139,420,1850,2500,1.2454121010004764,4.201176470588234,12.487979002624673,14.498026905829596,KIT,0.6634285133878434,m,0.9986353666411256
24,m,m,2,DRESS,1,136,500,1760,2590,1.2095801526717556,4.9191869918699185,12.154301075268819,14.731076923076923,DRESS,0.5998051565521201,m,0.9969110822696311
